rownames,state,year,cpi,population,packs,income,tax,price,taxs
1,AL,1985,1.076,3973000,116.486,46014968,32.5,102.182,33.348
2,AR,1985,1.076,2327000,128.535,26210736,37.0,101.475,37.0
3,AZ,1985,1.076,3184000,104.523,43956936,31.0,108.579,36.17
4,CA,1985,1.076,26444000,100.363,447102816,26.0,107.837,32.104
5,CO,1985,1.076,3209000,112.964,49466672,31.0,94.267,31.0
6,CT,1985,1.076,3201000,109.278,60063368,42.0,128.025,51.483
7,DE,1985,1.076,618000,143.851,9927301,30.0,102.492,30.0
8,FL,1985,1.076,11352000,122.181,166919248,37.0,115.29,42.49
9,GA,1985,1.076,5963000,127.235,78364336,28.0,97.025,28.842
10,IA,1985,1.076,2830000,113.746,37902896,34.0,101.842,37.917
11,ID,1985,1.076,994000,103.018,11577261,25.1,102.899,29.058
12,IL,1985,1.076,11401000,123.208,176786352,28.0,104.44,28.915
13,IN,1985,1.076,5460000,137.637,71751616,26.5,96.18,31.08
14,KS,1985,1.076,2428000,116.68,34784360,32.0,98.923,34.881
15,KY,1985,1.076,3695000,186.035,42703144,19.0,87.001,23.143
16,LA,1985,1.076,4409000,127.557,53431900,32.0,108.394,36.169
17,MA,1985,1.076,5881000,115.678,98328688,42.0,112.208,42.0
18,MD,1985,1.076,4414000,120.979,74851664,29.0,91.967,29.0
19,ME,1985,1.076,1163000,128.117,14575292,36.0,107.048,41.097
20,MI,1985,1.076,9077000,128.005,133728040,37.0,104.914,37.831
21,MN,1985,1.076,4185000,112.903,63152360,34.0,113.65,40.433
22,MO,1985,1.076,5001000,130.374,69341920,29.0,99.338,29.855
23,MS,1985,1.076,2588000,117.04,25678534,27.583,105.293,33.543
24,MT,1985,1.076,822000,104.258,9785230,32.0,99.292,32.0
25,NC,1985,1.076,6255000,155.284,79104656,18.0,84.968,21.268
26,ND,1985,1.076,677000,105.465,8672948,34.0,106.808,38.108
27,NE,1985,1.076,1585000,107.382,21778072,34.0,104.607,38.023
28,NH,1985,1.076,997000,197.994,15767469,33.0,95.5,33.0
29,NJ,1985,1.076,7566000,116.521,133549208,41.0,110.417,41.0
30,NM,1985,1.076,1439000,88.742,17258916,28.0,102.778,31.953
31,NV,1985,1.076,951000,141.956,14581495,31.0,114.188,37.464
32,NY,1985,1.076,17794000,116.663,297728512,37.0,109.998,37.881
33,OH,1985,1.076,10736000,127.599,153455776,30.0,100.424,34.782
34,OK,1985,1.076,3272000,127.139,43395580,34.0,101.468,34.826
35,OR,1985,1.076,2673000,119.454,36205164,35.0,97.033,35.0
36,PA,1985,1.076,11772000,117.703,170033840,34.0,109.074,40.174
37,RI,1985,1.076,967000,132.782,14229156,39.0,100.942,39.0
38,SC,1985,1.076,3304000,127.209,38536176,23.0,90.641,27.316
39,SD,1985,1.076,698000,106.59,8340000,31.0,97.083,31.0
40,TN,1985,1.076,4716000,129.835,57749668,29.0,101.946,34.771
41,TX,1985,1.076,16275000,115.103,231003152,35.25,107.38,39.38
42,UT,1985,1.076,1643000,68.046,19462380,28.0,110.196,34.237
43,VA,1985,1.076,5716000,134.01,87361632,18.5,91.615,22.024
44,VT,1985,1.076,530000,145.283,6887097,33.0,100.983,33.0
45,WA,1985,1.076,4401000,96.228,64846548,39.0,129.461,47.469
46,WI,1985,1.076,4748000,107.877,65732720,41.0,114.59,46.457
47,WV,1985,1.076,1907000,112.847,20852964,33.0,108.911,38.186
48,WY,1985,1.076,500000,129.4,7116756,24.0,93.467,24.0
